Line,Pre-Weight,Recipe,Location,Wet Weight,Wet Result,Wet Pass/Fail,Dry Weight,WPP,Pass/Fail,Passes,Flow,Size
S008,45.414,38,D,46.313,890,FAIL,46.298,306,1,138,89.935,38
S008,45.414,38,D,46.303,880,PASS,46.289,303,1,138,89.936,38
S008,45.558,38,A,46.455,888,PASS,46.439,305,1,138,89.925,38
S008,45.394,38,C,46.253,850,PASS,46.234,291,1,138,91.378,38
S008,45.543,38,C,46.444,892,FAIL,46.427,306,1,138,91.384,38
S008,45.396,38,B,46.218,814,PASS,46.204,280,1,138,91.392,38
S008,45.67,38,B,46.523,844,PASS,46.513,292,1,138,91.472,38
S008,45.413,38,D,46.279,857,PASS,46.265,295,1,138,90.014,38
S008,45.359,38,D,46.24,872,PASS,46.229,301,1,138,89.937,38
S008,45.603,38,A,46.487,875,PASS,46.47,300,1,138,89.925,38
S008,45.411,38,A,46.277,857,PASS,46.269,297,1,138,89.975,38
S008,45.437,38,A,46.334,888,PASS,46.316,305,1,134,101.523,38
S008,45.397,38,A,46.244,838,PASS,46.231,289,1,132,101.525,38
S008,45.522,38,B,46.37,839,PASS,46.355,289,1,138,91.376,38
S008,45.644,38,B,46.503,850,PASS,46.488,292,1,138,91.396,38
S008,45.396,38,B,46.239,834,PASS,46.225,287,1,134,98.923,38
S008,45.366,38,C,46.227,852,PASS,46.207,291,1,134,98.917,38
S008,45.604,38,C,46.492,879,PASS,46.473,301,1,138,91.382,38
S008,45.319,38,C,46.244,916,FAIL,46.226,314,0,138,91.434,38
S006,43.759,38,D,44.602,834,PASS,44.582,285,1,142,98.36,38
S006,44.511,38,C,45.412,892,FAIL,45.393,306,1,142,116.87,38
S006,44.446,38,B,45.26,806,PASS,45.244,276,1,142,116.894,38
S006,43.741,38,A,44.648,898,FAIL,44.629,308,1,142,98.352,38
S006,44.461,38,B,45.297,827,PASS,45.276,282,1,142,116.853,38
S006,43.92,38,C,44.773,844,PASS,44.758,290,1,142,116.874,38
S006,44.45,38,D,45.306,847,PASS,45.286,290,1,142,98.369,38
S006,43.922,38,A,44.812,881,PASS,44.801,305,1,142,98.348,38
S006,44.488,38,D,45.352,855,PASS,45.329,291,1,142,98.355,38
S006,43.589,38,C,44.479,881,PASS,44.458,301,1,142,116.89,38
S006,44.275,38,B,45.102,819,PASS,45.088,282,1,142,116.897,38
S006,43.894,38,A,44.789,886,PASS,44.769,303,1,142,98.375,38
S006,44.167,38,C,45.011,835,PASS,44.996,287,1,142,116.888,38
S006,43.808,38,D,44.702,885,PASS,44.674,300,1,142,98.346,38
S006,44.445,38,A,45.365,911,FAIL,45.343,311,1,142,98.358,38
S006,44.519,38,A,45.414,886,PASS,45.399,305,1,142,98.362,38
S006,44.473,38,C,45.362,880,PASS,45.334,298,1,148,82.399,38
S006,44.377,38,D,45.264,878,PASS,45.243,300,1,148,87.862,38
S006,44.479,38,A,45.397,909,FAIL,45.375,310,1,148,87.875,38
S006,43.671,38,A,44.541,861,PASS,44.523,295,1,148,87.871,38
S006,44.561,38,C,45.45,880,PASS,45.432,302,1,148,82.387,38
S006,44.468,38,D,45.38,903,FAIL,45.358,308,1,148,87.862,38
S006,44.533,38,D,45.397,855,PASS,45.381,294,1,142,96.904,38
S006,44.641,38,C,45.579,928,FAIL,45.56,318,0,142,116.902,38
S006,44.608,38,B,45.504,887,PASS,45.487,305,1,142,116.867,38
S006,44.598,38,A,45.49,883,PASS,45.474,303,1,142,96.901,38
S006,43.852,38,D,44.693,832,PASS,44.678,286,1,142,96.904,38
S006,43.908,38,C,44.81,893,FAIL,44.793,307,1,142,116.889,38
S006,44.624,38,B,45.508,875,PASS,45.487,299,1,142,116.889,38
S006,44.539,38,A,45.418,870,PASS,45.399,298,1,142,96.9,38
S006,44.097,38,D,44.94,834,PASS,44.921,285,1,142,96.891,38
S006,43.764,38,C,44.664,891,FAIL,44.645,305,1,142,116.874,38
S006,43.694,38,C,44.566,863,PASS,44.549,296,1,142,116.899,38
S006,44.496,38,D,45.339,834,PASS,45.324,287,1,142,96.904,38
S006,44.54,38,A,45.419,870,PASS,45.408,301,1,142,96.901,38
S006,43.692,38,B,44.557,856,PASS,44.539,293,1,142,116.876,38
S006,43.6,38,D,44.445,836,PASS,44.426,286,1,142,96.894,38
S006,44.092,38,D,44.929,828,PASS,44.914,285,1,142,96.915,38
S006,44.324,38,A,45.22,887,PASS,45.202,304,1,142,96.905,38
S006,43.664,38,B,44.555,882,PASS,44.529,300,1,142,116.426,38
S006,43.691,38,C,44.574,874,PASS,44.559,301,1,142,116.624,38
S006,43.762,38,C,44.643,872,PASS,44.622,298,1,142,116.782,38
S006,43.553,38,B,44.398,836,PASS,44.378,286,1,142,116.845,38
S006,43.658,38,B,44.533,866,PASS,44.516,297,1,142,116.842,38
